,Year,Sex,Fatal Y/N,Country,Type
535,2020,m,n,USA,UNPROVOKED
536,2020,f,n,USA,UNPROVOKED
537,2020,m,n,USA,UNPROVOKED
538,2020,m,n,AUSTRALIA,UNPROVOKED
539,2020,m,n,USA,UNPROVOKED
541,2020,m,n,FRENCH POLYNESIA,UNPROVOKED
542,2020,f,y,USA,UNPROVOKED
543,2020,m,n,USA,UNPROVOKED
544,2020,m,n,USA,UNPROVOKED
545,2020,m,n,USA,UNPROVOKED
546,2020,f,n,USA,UNPROVOKED
547,2020,m,n,AUSTRALIA,UNPROVOKED
548,2020,f,n,USA,UNPROVOKED
549,2020,f,n,AUSTRALIA,UNPROVOKED
550,2020,m,y,AUSTRALIA,UNPROVOKED
551,2020,f,n,USA,UNPROVOKED
552,2020,m,y,AUSTRALIA,UNPROVOKED
553,2020,m,n,USA,UNPROVOKED
554,2020,m,n,USA,UNPROVOKED
556,2020,f,n,SOUTH AFRICA,UNPROVOKED
557,2020,m,y,NEW CALEDONIA,UNPROVOKED
558,2020,m,y,AUSTRALIA,UNPROVOKED
560,2020,m,n,USA,
561,2020,m,n,USA,UNPROVOKED
562,2020,m,n,BAHAMAS,UNPROVOKED
563,2020,m,n,AUSTRALIA,UNPROVOKED
564,2020,m,n,THAILAND,UNPROVOKED
565,2020,m,n,SPAIN,UNPROVOKED
567,2020,m,y,USA,UNPROVOKED
568,2020,m,n,AUSTRALIA,UNPROVOKED
569,2020,f,n,USA,UNPROVOKED
570,2020,m,n,USA,
571,2020,f,n,AUSTRALIA,UNPROVOKED
572,2020,f,n,USA,UNPROVOKED
573,2020,m,y,AUSTRALIA,UNPROVOKED
574,2020,m,n,AUSTRALIA,UNPROVOKED
575,2020,m,n,USA,UNPROVOKED
576,2020,m,n,USA,UNPROVOKED
577,2020,m,n,USA,UNPROVOKED
578,2020,f,n,AUSTRALIA,UNPROVOKED
579,2020,m,n,NEW ZEALAND,PROVOKED
580,2020,m,n,FIJI,UNPROVOKED
581,2020,m,n,NEW ZEALAND,UNPROVOKED
582,2020,m,n,USA,UNPROVOKED
583,2020,m,n,FRENCH POLYNESIA,UNPROVOKED
584,2020,f,n,BAHAMAS,PROVOKED
585,2020,m,n,AUSTRALIA,UNPROVOKED
586,2020,f,n,NEW ZEALAND,UNPROVOKED
587,2020,m,n,USA,UNPROVOKED
588,2020,m,n,THAILAND,UNPROVOKED
589,2020,f,n,AUSTRALIA,UNPROVOKED
590,2020,m,y,AUSTRALIA,UNPROVOKED
591,2020,m,n,NEW CALEDONIA,UNPROVOKED
592,2020,m,y,AUSTRALIA,QUESTIONABLE
593,2019,m,n,AUSTRALIA,UNPROVOKED
594,2019,f,n,SEYCHELLES,UNPROVOKED
